,SUBJECT_8
training duration,2744.9908649921417
,train,valid,test
logloss,0.2647186693851228,0.28609658721694375,0.21614520832643672
accuracy,0.9433646812957158,0.9342105263157895,0.9491525423728814
macro-precision,0.9191310366532129,0.8737993895685735,0.8890550239234449
macro-recall,0.9287775472581409,0.8872880591630592,0.9051036682615631
macro-f1,0.9201893253221582,0.8784678160662437,0.8694891446314595
weighted-f1,0.9427288396777611,0.933262288803211,0.9484572396481828
micro-f1,0.9433646812957158,0.9342105263157895,0.9491525423728814
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.950457557589145,1.0,1.0,0.8701073779009353,0.8835364125814678,0.9944719231888275,0.9047619047619047,0.9491525423728815,0.8554913294797688,0.9056603773584906,0.8055555555555557,0.9230769230769231
valid,0.9411764705882353,1.0,1.0,0.8553459119496856,0.8708860759493672,1.0,0.9333333333333333,1.0,0.7826086956521738,0.7058823529411765,0.7857142857142857,0.6666666666666666
test,0.9142857142857143,1.0,1.0,0.967741935483871,0.8823529411764706,1.0,1.0,missed_category,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,48.0,0.0,0.0,1256.0,239.0,14.0,1.0,0.0,0.0,2.0,20.0,0.0
STANDING,109.0,0.0,0.0,51.0,1559.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1709.0,0.0,0.0,1.0,0.0,3.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,5.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,19.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,2.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,116.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,66.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,8.0,0.0,0.0,136.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,13.0,0.0,0.0,6.0,172.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,48.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
