,SUBJECT_7
training duration,2788.265371322632
,train,valid,test
STAND_TO_SIT,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,2,0,2,0
LIE_TO_SIT,0,0,0,0,0,0,missed_category,missed_category,0,1,0,0
STAND_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,1,0,3,0
LIE_TO_STAND,0,0,0,0,0,0,missed_category,missed_category,0,1,0,2
,index,real_category,predicted_category
0,69,8,10
1,70,8,10
2,85,11,9
3,183,3,4
4,206,10,8
