,SUBJECT_19
training duration,1796.3288888931274
,train,valid,test
logloss,1.6315204295270198,1.6131871806501776,1.661752455503609
accuracy,0.5074265248077531,0.4947867298578199,0.4540682414698163
macro-precision,0.7218915994491196,0.5902958885632154,0.6224878646413973
macro-recall,0.45339124980394657,0.4474863210233427,0.4572659885159885
macro-f1,0.4444363613602138,0.43130176678530424,0.43509217304309117
weighted-f1,0.44789996728323833,0.4418175486476563,0.40388446533014966
micro-f1,0.5074265248077531,0.4947867298578199,0.4540682414698162
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.4044672502263809,0.7796610169491526,0.7194058766548271,0.03291139240506329,0.0,0.8479890933878663,0.09375,0.12903225806451613,0.6545454545454545,0.4356435643564357,0.6048780487804879,0.6309523809523809
valid,0.39783491204330174,0.7729083665338646,0.679886685552408,0.07777777777777778,0.0,0.8138801261829653,0.0,0.0,0.6666666666666666,0.4,0.6666666666666667,0.7000000000000001
test,0.34751773049645385,0.7692307692307693,0.7572815533980582,0.052631578947368425,0.0,0.7499999999999999,0.0,0.0,0.8,0.5,0.4444444444444445,0.8
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1340.0,11.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,360.0,897.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALKING_DOWNSTAIRS,114.0,3.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1327.0,5.0,196.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1459.0,17.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,408.0,0.0,34.0,0.0,0.0,1244.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,36.0,6.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0
SIT_TO_STAND,15.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
SIT_TO_LIE,16.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0,15.0,0.0
LIE_TO_SIT,14.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,34.0
STAND_TO_LIE,23.0,6.0,9.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,62.0,0.0
LIE_TO_STAND,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,53.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,147.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,42.0,97.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,17.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,135.0,2.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,163.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,52.0,0.0,7.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
LIE_TO_SIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
STAND_TO_LIE,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
LIE_TO_STAND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
