,SUBJECT_24
training duration,2719.773033618927
,train,valid,test
logloss,0.325928998016135,0.3257358681566362,0.2954313882967321
accuracy,0.9197211365796979,0.9249049429657795,0.9536585365853658
macro-precision,0.8874331360537487,0.8419140553463289,0.893608940004821
macro-recall,0.9239696084844079,0.872025424064686,0.868491250533504
macro-f1,0.9004748140761647,0.8493891243560557,0.8549605646611499
weighted-f1,0.9162627282434342,0.9230621262914382,0.9516396662790353
micro-f1,0.9197211365796979,0.9249049429657794,0.9536585365853658
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.8975434391851409,0.9910979228486646,0.9810560257960499,0.8994608309546464,0.7848797250859106,0.9888888888888889,0.8169014084507042,0.9836065573770492,0.8969072164948454,0.8652482269503546,0.8467741935483871,0.8533333333333333
valid,0.9021739130434783,0.9933333333333334,0.9926470588235294,0.9230769230769231,0.8206686930091186,0.9894736842105263,0.7058823529411764,1.0,0.7,0.7142857142857143,0.7142857142857142,0.7368421052631579
test,0.9133858267716535,1.0,0.9821428571428572,0.993006993006993,0.916030534351145,1.0,0.8,missed_category,0.7272727272727273,0.8,0.5454545454545454,0.7272727272727272
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,32.0,0.0,3.0,1418.0,51.0,32.0,8.0,0.0,0.0,1.0,11.0,1.0
STANDING,308.0,24.0,44.0,178.0,1142.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1691.0,0.0,0.0,1.0,0.0,2.0,2.0
STAND_TO_SIT,2.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,0.0,5.0,0.0
