,SUBJECT_29
training duration,1806.8560059070587
,train,valid,test
logloss,1.9310615484986327,1.9354491725549905,1.8491085178249484
accuracy,0.457824989482541,0.44087038789025546,0.5
macro-precision,0.7034196860499108,0.49331693411873107,0.5254868549172347
macro-recall,0.45105102390521234,0.41700837354236436,0.49142826565955894
macro-f1,0.4501423247442024,0.41193240827367134,0.46547534448468664
weighted-f1,0.4023469543752764,0.38743125731703365,0.43587089408299834
micro-f1,0.457824989482541,0.44087038789025546,0.5
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.3819155264723379,0.697986577181208,0.6451612903225807,0.01015873015873016,0.0,0.7424354243542436,0.27777777777777773,0.13333333333333333,0.5644171779141104,0.6818181818181819,0.6200873362445416,0.6466165413533834
valid,0.3607427055702918,0.6866952789699571,0.6323907455012854,0.0,0.0,0.7142857142857143,0.0,0.0,0.588235294117647,0.7999999999999999,0.6153846153846153,0.5454545454545454
test,0.41129032258064524,0.8470588235294119,0.6771653543307087,0.0,0.0,0.7787610619469026,0.0,0.0,0.5,0.8,0.5714285714285715,1.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1284.0,2.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,489.0,728.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALKING_DOWNSTAIRS,113.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1262.0,0.0,288.0,8.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
STANDING,1401.0,4.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LAYING,583.0,0.0,111.0,0.0,0.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,29.0,1.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0
SIT_TO_STAND,11.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0
SIT_TO_LIE,10.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,25.0,0.0
LIE_TO_SIT,12.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,12.0
STAND_TO_LIE,17.0,2.0,12.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,71.0,0.0
LIE_TO_STAND,11.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,43.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,136.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,58.0,80.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
