,SUBJECT_23
training duration,2828.850424289704
,train,valid,test
logloss,0.216750327889381,0.21629224918372716,0.237262064096879
accuracy,0.9677317304650427,0.9686907020872866,0.9591836734693877
macro-precision,0.9383666594079,0.9258754951189162,0.8335404738630544
macro-recall,0.923248211134298,0.9118176272434714,0.8425929761575991
macro-f1,0.929196907336726,0.9157562307371611,0.8207436265714375
weighted-f1,0.967611843661716,0.9685922473452384,0.9570334677258002
micro-f1,0.9677317304650427,0.9686907020872866,0.9591836734693877
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.999332443257677,1.0,0.9995896594173164,0.9231259968102073,0.9303003791192768,0.9985281130409184,0.9401709401709402,0.9824561403508771,0.8118811881188119,0.8843537414965987,0.7887323943661972,0.8918918918918919
valid,1.0,1.0,1.0,0.9314285714285715,0.9396325459317585,0.9973614775725593,1.0,1.0,0.6956521739130435,0.7999999999999999,0.75,0.875
test,1.0,1.0,0.9908256880733944,0.9241379310344828,0.9172932330827067,1.0,0.8,1.0,0.8,0.6666666666666666,0.7499999999999999,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1447.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,122.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
