,SUBJECT_9
training duration,1767.645911693573
,train,valid,test
logloss,1.990115421593763,1.9882844684263183,2.0876712124447345
accuracy,0.4095856006697363,0.4096045197740113,0.42443729903536975
macro-precision,0.7409262388403293,0.4090421297572027,0.3824456712359043
macro-recall,0.3088734636590844,0.27544887408104596,0.28528482099910674
macro-f1,0.32979767902501106,0.278675384218641,0.2710222086905122
weighted-f1,0.3723838859509045,0.3639065946109559,0.3608569062829984
micro-f1,0.4095856006697363,0.4096045197740113,0.42443729903536975
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.35338791978165424,0.45890410958904104,0.6502705361534679,0.017632241813602016,0.0,0.8369895376307795,0.0625,0.06451612903225806,0.3305785123966942,0.31111111111111106,0.5221674876847291,0.34951456310679613
valid,0.3566058002148228,0.4307692307692308,0.6206896551724139,0.0,0.0,0.8724035608308605,0.0,0.0,0.0,0.36363636363636365,0.5,0.2
test,0.38095238095238093,0.27118644067796605,0.5714285714285714,0.0,0.0,0.9719626168224299,0.0,missed_category,0.5,0.0,0.28571428571428575,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1489.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,880.0,402.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,567.0,0.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1530.0,0.0,26.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1711.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,474.0,0.0,0.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,49.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0
SIT_TO_STAND,26.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,49.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,19.0,0.0
LIE_TO_SIT,46.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,11.0
STAND_TO_LIE,51.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,53.0,0.0
LIE_TO_STAND,52.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,166.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
