,SUBJECT_27
training duration,1793.0452275276184
,train,valid,test
logloss,1.6280862506262526,1.605461221944675,1.487785687906488
accuracy,0.3669444151460816,0.38425047438330173,0.38578680203045684
macro-precision,0.6406096462053003,0.6235540148947775,0.5173886516168396
macro-recall,0.24199547504983468,0.28677278581665927,0.2730947243331144
macro-f1,0.2544888273034945,0.3137231214712059,0.2668661372886725
weighted-f1,0.33167739268604784,0.35160022163539684,0.34318080034817
micro-f1,0.36694441514608167,0.38425047438330173,0.38578680203045684
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.3352730528200537,0.4788888888888889,0.4282982791586998,0.010230179028132991,0.0,0.8075976081603939,0.0,0.06451612903225806,0.06,0.3225806451612903,0.3625730994152047,0.1839080459770115
valid,0.34151329243353784,0.49261083743842365,0.46327683615819204,0.022857142857142854,0.0,0.8322981366459626,0.0,0.0,0.16666666666666669,0.4,0.5,0.5454545454545454
test,0.3211267605633803,0.43076923076923085,0.4,0.05405405405405406,0.0,0.9295774647887324,0.0,missed_category,0.4,0.0,0.4,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,911.0,431.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,890.0,1.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1548.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1706.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,545.0,1.0,0.0,0.0,0.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SIT_TO_STAND,25.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,69.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0
LIE_TO_SIT,53.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0
STAND_TO_LIE,80.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,31.0,0.0
LIE_TO_STAND,58.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,95.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,170.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,54.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
