,SUBJECT_16
training duration,1788.5385570526123
,train,valid,test
logloss,1.7849139349657714,1.7519592574422393,1.9603324628442447
accuracy,0.47709320695102686,0.4815165876777251,0.43799472295514513
macro-precision,0.5254389257646791,0.5271918496434168,0.43706293706293703
macro-recall,0.37308474705383715,0.3581089181456132,0.44949287258423676
macro-f1,0.34734573700896804,0.3336544558871808,0.38663415359082587
weighted-f1,0.39029389208417675,0.39862417687956686,0.3542826289948875
micro-f1,0.47709320695102686,0.4815165876777251,0.43799472295514513
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.44317343173431734,0.36197440585009144,0.5125384953805543,0.043887147335423204,0.0,0.994426518040481,0.0,0.0,0.6043956043956044,0.3368421052631579,0.44571428571428573,0.4251968503937008
valid,0.4482173174872666,0.3804347826086956,0.5116279069767442,0.08791208791208792,0.0,0.9947089947089947,0.0,0.0,0.6,0.4,0.38095238095238093,0.2
test,0.3292181069958848,0.3,0.5960264900662252,0.0,0.0,0.9705882352941176,0.0,missed_category,0.4,0.0,0.8571428571428571,0.8
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1201.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,640.0,297.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,59.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,777.0,0.0,739.0,35.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1167.0,0.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,4.0,0.0,0.0,1695.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,31.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SIT_TO_STAND,11.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,3.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,9.0,0.0
LIE_TO_SIT,10.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,26.0
STAND_TO_LIE,8.0,0.0,38.0,0.0,0.0,3.0,0.0,0.0,33.0,0.0,39.0,0.0
LIE_TO_STAND,9.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,27.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,132.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,65.0,35.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,4.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,81.0,0.0,84.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,128.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,1.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
SIT_TO_STAND,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
LIE_TO_SIT,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
STAND_TO_LIE,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
LIE_TO_STAND,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,40.0,0.0,11.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,31.0,9.0,11.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,2.0,0.0,45.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SITTING,53.0,0.0,14.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
STANDING,63.0,0.0,17.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
LAYING,1.0,0.0,3.0,0.0,0.0,66.0,0.0,missed_category,0.0,0.0,0.0,0.0
STAND_TO_SIT,1.0,0.0,1.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
