,SUBJECT_27
training duration,2827.29714012146
,train,valid,test
logloss,0.2249911263728114,0.22176456632378885,0.13028345253261817
accuracy,0.963611433393102,0.9686907020872866,1.0
macro-precision,0.9109782586806285,0.8968276822072633,1.0
macro-recall,0.8978555187732065,0.8803804127370448,1.0
macro-f1,0.9036670589293263,0.886062145836786,1.0
weighted-f1,0.963367010295469,0.968403072155582,1.0
micro-f1,0.963611433393102,0.9686907020872866,1.0
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9996663329996663,0.9996278377372534,1.0,0.9182754182754183,0.9253208868144691,0.9964705882352942,0.888888888888889,0.9032258064516129,0.7340425531914895,0.8666666666666667,0.7410714285714286,0.8707482993197277
valid,1.0,1.0,1.0,0.9367816091954023,0.9448818897637795,1.0,0.8571428571428571,1.0,0.7272727272727272,0.75,0.75,0.6666666666666666
test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,missed_category,1.0,1.0,1.0,1.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1427.0,128.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,121.0,1586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1694.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,1.0,0.0,2.0,2.0,0.0,52.0,2.0,0.0,1.0,1.0,0.0
