train_acc,train_loss,val_acc,val_loss,test_acc,test_loss,lr
0.7840127051349921,0.7254592273524352,0.7923809523809524,0.7194022042410714,0.9032258064516129,0.6445118425079205,0.0005
0.8659608258337745,0.5510906584998676,0.8571428571428571,0.5612220982142857,0.9101382488479263,0.5285491240189372,0.0005
0.9126521969295924,0.3704533752150609,0.9104761904761904,0.3689474341982887,0.9216589861751152,0.4076808806388609,0.0005
0.9253573319216517,0.3328371596248015,0.9219047619047619,0.33346136183965774,0.956221198156682,0.3704712687549503,0.0005
0.928215987294865,0.34885102691569614,0.9304761904761905,0.3507870047433036,0.9631336405529954,0.3783537341702369,0.0005
0.9366860772895712,0.29215418107298835,0.9295238095238095,0.29169924781436013,0.967741935483871,0.2984797745805732,0.0005
0.9377448385389094,0.29365875421850185,0.9352380952380952,0.29304661342075894,0.9539170506912442,0.3265046150453629,0.0005
0.9353096876654314,0.28884069262010326,0.9304761904761905,0.2960655285063244,0.9769585253456221,0.2858649398874028,0.0005
0.9322392800423505,0.3295830972488751,0.9323809523809524,0.33063284737723214,0.967741935483871,0.38984198504329276,0.0005
0.9436739015352038,0.2769910708377448,0.9457142857142857,0.27851388113839287,0.9700460829493087,0.3271592311595442,0.0005
0.9420857596611965,0.2527384590888036,0.939047619047619,0.25874569847470236,0.9769585253456221,0.29441798337593605,0.0005
0.9381683430386448,0.3043098768776469,0.940952380952381,0.30450828915550593,0.9746543778801844,0.3646424113330753,0.0005
0.9476971942826893,0.2633181101938857,0.9438095238095238,0.26445353190104165,0.9792626728110599,0.34689197452386955,0.0005
0.9476971942826893,0.247918588083973,0.9485714285714286,0.2511549304780506,0.9654377880184332,0.330841064453125,0.0005
0.9437797776601377,0.2652208044517602,0.9438095238095238,0.2655018833705357,0.9769585253456221,0.2996224961522537,0.0005
0.9480148226574907,0.23543037507444414,0.9495238095238095,0.23835581461588543,0.9700460829493087,0.29340179724627374,0.0005
0.9450502911593436,0.24900645492820275,0.9371428571428572,0.2534559268043155,0.9815668202764977,0.32858993600590436,0.0005
0.9548967707781895,0.22619327769322392,0.9533333333333334,0.2327303931826637,0.9861751152073732,0.33480479860086043,0.0005
0.9532027527792483,0.2214435082633007,0.9466666666666667,0.2283512660435268,0.9861751152073732,0.28981246596657184,0.0005
0.9564849126521969,0.2208278964978163,0.9523809523809523,0.22330162411644344,0.8778801843317973,0.3070460728236607,0.0005
0.9557437797776601,0.2571041949278719,0.9514285714285714,0.2574803524925595,0.880184331797235,0.3612672656362507,0.0005
0.9584965590259397,0.23500260554526203,0.9580952380952381,0.23604791550409226,0.9792626728110599,0.3289206016997588,0.0005
0.9573319216516676,0.24478784968071732,0.9552380952380952,0.24702293759300595,0.9861751152073732,0.35221507692117293,0.0005
0.9573319216516676,0.20953050555849656,0.9571428571428572,0.21323028564453125,0.8824884792626728,0.2897022089101203,0.0005
0.9550026469031233,0.2191265116298306,0.9476190476190476,0.22253199986049108,0.9861751152073732,0.3308147658950173,0.0005
0.9564849126521969,0.25221075862724984,0.9523809523809523,0.25116946265811013,0.9216589861751152,0.3734297862250684,0.0005
0.9615669666490206,0.23171054563426416,0.9638095238095238,0.23249671572730654,0.8824884792626728,0.31647445749027936,0.0005
0.9541556379036528,0.22829880641212283,0.9504761904761905,0.22939528692336308,0.9400921658986175,0.3437471521614883,0.0005
0.9598729486500794,0.2444337746906432,0.9514285714285714,0.24685294015066964,0.880184331797235,0.34878905687463996,0.0005
0.961355214399153,0.2416990119606935,0.9580952380952381,0.24867530459449405,0.8755760368663594,0.35888028474447364,0.0005
0.9547908946532557,0.2313974407755426,0.9466666666666667,0.23685631161644347,0.880184331797235,0.3913943383001512,0.0005
0.9659078877713075,0.23903308422114874,0.96,0.24458292643229165,0.9193548387096774,0.3883734848092778,0.0005
0.9634727368978295,0.18243380415811938,0.960952380952381,0.19028701055617558,0.8824884792626728,0.3097341511106711,0.00025
0.9622022233986236,0.24348730003474062,0.9647619047619047,0.24521025158110119,0.880184331797235,0.34079176379788306,0.00025
0.9648491265219693,0.20122841895099922,0.9638095238095238,0.2041969517299107,0.880184331797235,0.33718323597710254,0.00025
0.9620963472736898,0.22936700242357067,0.9571428571428572,0.2337202671595982,0.9216589861751152,0.329634037984681,0.00025
0.9604023292747486,0.21467193393495235,0.9628571428571429,0.21627272832961308,0.8755760368663594,0.36580345048333096,0.00025
0.9628374801482266,0.2176067136216252,0.9647619047619047,0.21563514346168156,0.8709677419354839,0.38000150759648615,0.00025
0.9659078877713075,0.19526674786593437,0.9666666666666667,0.19674031575520834,0.880184331797235,0.33697752359275995,0.00025
0.967496029645315,0.207522206586653,0.9666666666666667,0.21382513137090775,0.8847926267281107,0.34466890255976385,0.00025
0.9617787188988883,0.2592988498378772,0.960952380952381,0.2645950753348214,0.8778801843317973,0.3686920025381624,0.00025
0.9577554261514029,0.23061451061242721,0.9571428571428572,0.23363445463634672,0.880184331797235,0.3884131435974402,0.00025
0.9672842773954473,0.21265319210312997,0.9628571428571429,0.21650621686662946,0.8732718894009217,0.33616817491944484,0.00025
0.9624139756484913,0.2220255943124669,0.9638095238095238,0.22457089378720238,0.880184331797235,0.37439682077152936,0.00025
0.9578613022763367,0.2254238405323584,0.9533333333333334,0.2292488025483631,0.8847926267281107,0.3409613684025778,0.000125
0.9686606670195871,0.24369297784872948,0.9685714285714285,0.2479625011625744,0.8755760368663594,0.3819634222215222,0.000125
0.9706723133933298,0.20447627764773027,0.9695238095238096,0.21015191941034225,0.8778801843317973,0.3543869932675691,0.000125
0.9695076760190577,0.20723942220999866,0.9676190476190476,0.21201218377976191,0.8755760368663594,0.3619673416911182,0.000125
0.9665431445209105,0.18025640323087613,0.9628571428571429,0.18957034156436012,0.8755760368663594,0.3774508287280386,0.000125
0.9676019057702488,0.19120500523176945,0.9657142857142857,0.1971344284784226,0.8732718894009217,0.3956450712845622,0.000125
0.9682371625198518,0.18303287277908284,0.9647619047619047,0.18955862862723213,0.8548387096774194,0.3769953855171731,0.000125
0.9725780836421387,0.1953812703687467,0.9714285714285714,0.20101542154947916,0.8824884792626728,0.34498096940704204,0.000125
0.9703546850185283,0.1820490597290233,0.9666666666666667,0.19025565011160714,0.8824884792626728,0.37899207189885153,0.000125
0.9696135521439915,0.19617902474027263,0.9676190476190476,0.20159871419270833,0.8548387096774194,0.3671295587917627,0.000125
0.9695076760190577,0.21048199485508207,0.9666666666666667,0.21536946614583333,0.8709677419354839,0.3930525889594434,0.000125
0.9714134462678666,0.19638914852435152,0.9723809523809523,0.2001791527157738,0.8732718894009217,0.3776564707953809,0.000125
0.9728957120169401,0.2208535125231604,0.9695238095238096,0.22474847702752976,0.8778801843317973,0.39473045806181595,0.000125
0.9707781895182637,0.1767247520596215,0.9628571428571429,0.18375005812872025,0.8732718894009217,0.37288968134585615,0.000125
0.9706723133933298,0.19594288427656828,0.9657142857142857,0.20302251906622024,0.8824884792626728,0.38229567004788306,0.000125
0.9684489147697194,0.18965258621046188,0.9638095238095238,0.19749273390997024,0.8571428571428571,0.38850670036632345,0.000125
