,SUBJECT_13
training duration,1883.482739448548
,train,valid,test
logloss,1.4167123052208044,1.412142457322651,1.4095861500707165
accuracy,0.5728838479311069,0.5750708215297451,0.5775862068965517
macro-precision,0.7457678046079622,0.5365124266743226,0.6585771658060815
macro-recall,0.4739089163749164,0.3863927834261987,0.5179782288224938
macro-f1,0.49060077012266273,0.38498724043612076,0.5298970400467938
weighted-f1,0.526286492816172,0.5279714457048734,0.5486981124077275
micro-f1,0.5728838479311069,0.5750708215297451,0.5775862068965517
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.44610147511752307,0.7341067285382831,0.7311754684838159,0.35414534288638694,0.0,0.9868766404199475,0.06451612903225806,0.19354838709677416,0.5185185185185185,0.5964912280701754,0.57,0.6917293233082707
valid,0.45244956772334294,0.694560669456067,0.7701863354037267,0.4177777777777777,0.0,0.9894179894179894,0.0,0.0,0.18181818181818182,0.36363636363636365,0.5833333333333334,0.16666666666666666
test,0.43654822335025384,0.7777777777777778,0.5692307692307692,0.5588235294117647,0.0,0.983050847457627,0.0,0.6666666666666666,0.4,0.8,0.5,0.6666666666666665
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1376.0,4.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,442.0,791.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,149.0,2.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1075.0,0.0,141.0,346.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,1488.0,2.0,206.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,16.0,0.0,0.0,0.0,0.0,1692.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,35.0,5.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0
SIT_TO_STAND,14.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
SIT_TO_LIE,22.0,1.0,17.0,0.0,0.0,5.0,0.0,0.0,35.0,0.0,13.0,0.0
LIE_TO_SIT,16.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,13.0
STAND_TO_LIE,29.0,1.0,23.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,57.0,0.0
LIE_TO_STAND,9.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,46.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,157.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,55.0,83.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,12.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,115.0,0.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,171.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
